Year,Origin_Country_Code,Origin_Country,Holiday_Leisure,Personal,Business,Visit_friend_family,total_trips
2016,CY,Cyprus,6620916.0,9519361.0,1020080.0,2164811.0,19325168.0
2016,CZ,Czechia,75116184.0,126429895.0,5835321.0,48639760.0,256021160.0
2016,DE,Germany,489424460.0,853981683.0,168610630.0,332571869.0,1844588642.0
2016,DK,Denmark,47444268.0,109280463.0,9824541.0,61307460.0,227856732.0
2016,EE,Estonia,7800676.0,14972325.0,3399108.0,6834599.0,33006708.0
2016,EL,Greece,14634250.0,20769288.0,1465004.0,4973319.0,41841861.0
2016,ES,Spain,282744984.0,546872008.0,35021208.0,229620033.0,1094258233.0
2016,FI,Finland,67703284.0,132824188.0,22985996.0,57838215.0,281351683.0
2016,FR,France,321293995.0,718454716.0,65586989.0,356538372.0,1461874072.0
2016,HR,Croatia,7777513.0,15030698.0,3134376.0,4918944.0,30861531.0
2016,HU,Hungary,37108580.0,69557812.0,2839756.0,30686976.0,140193124.0
2016,IE,Ireland,28712445.0,49625388.0,5256611.0,14545766.0,98140210.0
2016,IT,Italy,137505859.0,203315052.0,27027233.0,60820850.0,428668994.0
2016,LT,Lithuania,6896740.0,15029998.0,2997600.0,6209403.0,31133741.0
2016,LU,Luxembourg,4211894.0,5639036.0,781413.0,1284934.0,11917277.0
2016,LV,Latvia,7819756.0,16287436.0,978224.0,8073216.0,33158632.0
2016,ME,Montenegro,2642964.0,5496575.0,973581.0,2407685.0,11520805.0
2016,MT,Malta,2320739.0,2548301.0,246780.0,164126.0,5279946.0
2016,NL,Netherlands,121751432.0,161005676.0,9623240.0,38699445.0,331079793.0
2016,NO,Norway,43843652.0,69812428.0,17658967.0,17464841.0,148779888.0
2016,PL,Poland,93925015.0,210194379.0,9352928.0,100848701.0,414321023.0
2016,PT,Portugal,27018845.0,57500302.0,6221099.0,27693862.0,118434108.0
2016,RO,Romania,27646276.0,67073740.0,2138276.0,36928401.0,133786693.0
2016,SE,Sweden,84958201.0,140197722.0,29335277.0,41309602.0,295800802.0
2016,SI,Slovenia,12598796.0,16222745.0,2053556.0,3217057.0,34092154.0
2016,SK,Slovakia,19043267.0,33262716.0,3590054.0,12372849.0,68268886.0
2017,AL,Albania,4685301.0,16373369.0,1923472.0,10195608.0,33177750.0
2017,AT,Austria,58552752.0,78403777.0,13935301.0,16874246.0,167766076.0
2017,BE,Belgium,45961951.0,55805156.0,4987541.0,8885457.0,115640105.0
2017,BG,Bulgaria,12004009.0,21071988.0,733119.0,8150037.0,41959153.0
2017,CH,Switzerland,51029203.0,82614710.0,5797388.0,23230483.0,162671784.0
